,timestamp,rate
0,2020-08-23T00:00:00Z,10456.9779366965560000000000000000
1,2020-09-11T00:00:00Z,10974.1254944330520000000000000000
2,2020-09-15T00:00:00Z,11269.6306933334080000000000000000
3,2020-09-27T00:00:00Z,11173.0357875103140000000000000000
4,2020-10-03T00:00:00Z,11017.3764719039910000000000000000
5,2020-10-04T00:00:00Z,9745.24870113684656390000000000000000
6,2020-10-07T00:00:00Z,9005.1664629231261136000000000000000000
7,2020-10-20T00:00:00Z,11920.0000000000000000000000000000
8,2020-10-21T00:00:00Z,12844.5294287108559729067157377265
9,2020-10-22T00:00:00Z,13020.0792365404926895733581300596
10,2020-10-23T00:00:00Z,12928.5200000000000000000000000000
11,2020-10-24T00:00:00Z,13111.1900000000000000000000000000
12,2020-10-25T00:00:00Z,13051.4400000000000000000000000000
13,2020-10-26T00:00:00Z,13091.1400000000000000000000000000
14,2020-10-27T00:00:00Z,13795.4400000000000000000000000000
15,2020-10-28T00:00:00Z,13270.1700000000000000000000000000
16,2020-10-29T00:00:00Z,13457.1900000000000000000000000000
17,2020-10-30T00:00:00Z,13569.1300000000000000000000000000
18,2020-10-31T00:00:00Z,13800.1000000000000000000000000000
19,2020-11-01T00:00:00Z,13789.0900000000000000000000000000
20,2020-11-02T00:00:00Z,13578.0800000000000000000000000000
21,2020-11-03T00:00:00Z,14014.1000000000000000000000000000
22,2020-11-04T00:00:00Z,14162.2600000000000000000000000000
23,2020-11-05T00:00:00Z,15586.4400000000000000000000000000
24,2020-11-06T00:00:00Z,15594.4200000000000000000000000000
25,2020-11-07T00:00:00Z,14844.3304127405828302121828888011
26,2020-11-08T00:00:00Z,15499.1899118978011408050603466828
27,2020-11-09T00:00:00Z,15335.3600000000000000000000000000
28,2020-11-10T00:00:00Z,15326.1100000000000000000000000000
29,2020-11-11T00:00:00Z,15696.7200000000000000000000000000
30,2020-11-12T00:00:00Z,16284.6000000000000000000000000000
31,2020-11-13T00:00:00Z,16362.7900000000000000000000000000
32,2020-11-14T00:00:00Z,16076.8000000000000000000000000000
33,2020-11-15T00:00:00Z,15988.7800000000000000000000000000
34,2020-11-16T00:00:00Z,16709.4100000000000000000000000000
35,2020-11-17T00:00:00Z,17690.3494867431987372502565321585
36,2020-11-18T00:00:00Z,17811.2296509649661386967928243277
37,2020-11-19T00:00:00Z,17797.4400000000000000000000000000
38,2020-11-20T00:00:00Z,18677.2700000000000000000000000000
39,2020-11-21T00:00:00Z,18720.5100000000000000000000000000
40,2020-11-22T00:00:00Z,18424.8212896408714405386580195597
41,2020-11-23T00:00:00Z,18428.9705053274212735227728720250
42,2020-11-24T00:00:00Z,19244.0300000000000000000000000000
43,2020-11-25T00:00:00Z,18727.9600000000000000000000000000
44,2020-11-26T00:00:00Z,17166.380000000000000000000000000
45,2020-11-27T00:00:00Z,17147.8500000000000000000000000000
46,2020-11-28T00:00:00Z,17723.9900000000000000000000000000
47,2020-11-29T00:00:00Z,18216.0600000000000000000000000000
48,2020-11-30T00:00:00Z,19671.0800000000000000000000000000
49,2020-12-01T00:00:00Z,18814.4500000000000000000000000000
50,2020-12-02T00:00:00Z,19200.9200000000000000000000000000
51,2020-12-03T00:00:00Z,19448.4700000000000000000000000000
52,2020-12-04T00:00:00Z,18650.0000000000000000000000000000
53,2020-12-05T00:00:00Z,19168.0700000000000000000000000000
54,2020-12-06T00:00:00Z,19375.0000000000000000000000000000
55,2020-12-07T00:00:00Z,19179.6400000000000000000000000000
56,2020-12-08T00:00:00Z,18348.5600000000000000000000000000
57,2020-12-09T00:00:00Z,18564.8600000000000000000000000000
58,2020-12-10T00:00:00Z,18240.00000000000000000000000000
59,2020-12-11T00:00:00Z,18052.2805446128514879614292846433
60,2020-12-12T00:00:00Z,18804.9578738385914025023515822360
61,2020-12-13T00:00:00Z,19173.6100000000000000000000000000
62,2020-12-14T00:00:00Z,19275.5200000000000000000000000000
63,2020-12-15T00:00:00Z,19465.1200000000000000000000000000
64,2020-12-16T00:00:00Z,21396.280000000000000000000000
65,2020-12-17T00:00:00Z,22854.880000000000000000000000
66,2020-12-18T00:00:00Z,23153.070000000000000000000000
67,2020-12-19T00:00:00Z,23885.140000000000000000000000
68,2020-12-20T00:00:00Z,23494.340000000000000000000000
69,2020-12-21T00:00:00Z,22740.000000000000000000000000
70,2020-12-22T00:00:00Z,23868.400000000000000000000000
71,2020-12-23T00:00:00Z,23253.650000000000000000000000
72,2020-12-24T00:00:00Z,23706.570000000000000000000000
73,2020-12-25T00:00:00Z,24694.000000000000000000000000
74,2020-12-26T00:00:00Z,26462.570000000000000000000000
75,2020-12-27T00:00:00Z,26238.280000000000000000000000
76,2020-12-28T00:00:00Z,26990.160000000000000000000000
77,2020-12-29T00:00:00Z,27351.070000000000000000000000
78,2020-12-30T00:00:00Z,28912.830000000000000000000000
79,2020-12-31T00:00:00Z,28999.540000000000000000000000
80,2021-01-01T00:00:00Z,29417.280000000000000000000000
81,2021-01-02T00:00:00Z,32200.060000000000000000000000
82,2021-01-03T00:00:00Z,33155.0897974940187995748253188087
83,2021-01-04T00:00:00Z,32067.5499476945195594763480066861
84,2021-01-05T00:00:00Z,34032.380000000000000000000000
85,2021-01-06T00:00:00Z,36827.4686239255684381632119897201
86,2021-01-07T00:00:00Z,39809.4292413203958301606716633059
87,2021-01-08T00:00:00Z,40683.41000000000000000000000
88,2021-01-09T00:00:00Z,40218.830000000000000000000000
89,2021-01-10T00:00:00Z,38315.140000000000000000000000
90,2021-01-11T00:00:00Z,35410.0000000000000000000000
91,2021-01-12T00:00:00Z,33982.5663812462544807271020891083612470
92,2021-01-13T00:00:00Z,37332.5342018314874381431875924358
93,2021-01-14T00:00:00Z,39148.9998859736753504799277390221
94,2021-01-15T00:00:00Z,36811.880000000000000000000000
95,2021-01-16T00:00:00Z,36040.000000000000000000000000
96,2021-01-17T00:00:00Z,35849.220000000000000000000000
97,2021-01-18T00:00:00Z,36664.4026680491423383815292010992
98,2021-01-19T00:00:00Z,35970.9887801332000498196255480774
99,2021-01-20T00:00:00Z,35570.9332496951412271977589622963
100,2021-01-21T00:00:00Z,30643.7024354780616845755629511336
101,2021-01-22T00:00:00Z,32977.203860458653326176063231
102,2021-01-23T00:00:00Z,32074.664880213554498485990029
103,2021-01-24T00:00:00Z,32306.7722625444041117847679618470
104,2021-01-25T00:00:00Z,32207.9188352885972692351841449134
105,2021-01-26T00:00:00Z,32500.3259252929300426200698296079
106,2021-01-27T00:00:00Z,30271.299390790092507246760550
107,2021-01-28T00:00:00Z,33332.294752524952352741906242
108,2021-01-29T00:00:00Z,34303.6596772190270341263670078385
109,2021-01-30T00:00:00Z,34338.539803953840842183455106
110,2021-01-31T00:00:00Z,33150.750752633489586458647848804920
111,2021-02-01T00:00:00Z,33582.025730645554001124391726258729
112,2021-02-02T00:00:00Z,35611.5380825933986046915247221378
113,2021-02-03T00:00:00Z,37739.434876796022324169208550
114,2021-02-04T00:00:00Z,36944.1300863926393950253307723640
115,2021-02-05T00:00:00Z,38242.2271637640913052857112068763
116,2021-02-06T00:00:00Z,39310.068412195345879110204197
117,2021-02-07T00:00:00Z,38843.179203713126729930286157
118,2021-02-08T00:00:00Z,46501.257225154962082469442002
